id_incidente;fecha_incidente;hora_incidente;id_oficina;ciudad_oficina;agresion_verbal;agresion_fisica;llamada_fcs;dia_mes;aforo_alto;ocupacion_categoria;franja_horaria;agresion_fisica_verbal;es_fin_mes;dia_semana;cliente_reincidente
33;26/10/2020;14:30;VALENCIA01;Valencia;0;0;0;26;0;baja;cierre;0;1;0;0
34;07/06/2022;8:15;BARCELONA01;Barcelona;0;0;0;7;0;media;manana;0;0;1;0
35;13/10/2022;14:00;ZARAGOZA01;Zaragoza;0;0;0;13;1;baja;cierre;0;0;3;0
36;28/02/2025;11:30;BARCELONA01;Barcelona;0;0;0;28;0;media;manana;0;1;4;0
37;16/07/2021;11:30;ALICANTE01;Alicante;0;0;0;16;1;alta;manana;0;0;4;0
38;08/07/2023;9:30;BARCELONADIAGONAL01;Barcelona Diagonal;1;1;1;8;1;alta;manana;1;0;5;0
39;27/08/2021;10:15;BARCELONA01;Barcelona;0;0;0;27;1;media;manana;0;1;4;0
40;16/11/2024;13:30;LASPALMASDEGC01;Las Palmas de GC;1;1;1;16;0;media;cierre;1;0;5;1
41;12/04/2022;13:00;MADRIDACACIAS01;Madrid Acacias;0;0;0;12;0;baja;cierre;0;0;1;0
42;04/03/2023;12:15;CADIZ01;Cadiz;0;0;0;4;1;baja;cierre;0;0;5;0
43;12/08/2020;12:15;BARCELONA01;Barcelona;1;0;0;12;1;alta;cierre;1;0;2;0
44;11/02/2023;9:45;MURCIA01;Murcia;0;0;0;11;0;media;manana;0;0;5;0
45;28/03/2022;11:30;SEVILLA01;Sevilla;0;0;0;28;0;media;manana;0;1;0;0
46;11/02/2023;13:15;MURCIA01;Murcia;0;0;0;11;1;alta;cierre;0;0;5;1
47;28/10/2021;13:30;VALENCIA01;Valencia;0;0;0;28;0;baja;cierre;0;1;3;1
48;07/03/2025;14:00;LASPALMASDEGC01;Las Palmas de GC;0;0;0;7;1;media;cierre;0;0;4;0
49;16/02/2024;9:00;BARCELONA01;Barcelona;0;0;0;16;1;baja;manana;0;0;4;0
50;13/09/2022;14:30;LASPALMAS01;Las Palmas;0;0;0;13;0;media;cierre;0;0;1;1
51;21/12/2024;11:30;MADRID01;Madrid;0;0;0;21;0;media;manana;0;0;5;0
52;30/09/2023;8:15;VALLADOLID01;Valladolid;0;0;0;30;0;baja;manana;0;1;5;0
53;27/11/2024;12:30;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;0;0;0;27;1;alta;cierre;0;1;2;0
54;09/02/2022;9:45;VALENCIA01;Valencia;1;0;0;9;1;media;manana;1;0;2;0
55;27/01/2020;11:45;BARCELONA01;Barcelona;0;0;0;27;1;media;manana;0;1;0;0
56;23/09/2022;9:30;DIAGONAL01;Diagonal;0;0;0;23;0;media;manana;0;0;4;0
57;16/07/2020;9:15;ACACIAS01;Acacias;1;0;1;16;0;media;manana;1;0;3;1
58;22/03/2024;13:30;SANTANDER01;Santander;1;0;0;22;0;media;cierre;1;0;4;0
59;05/04/2021;13:45;MURCIA01;Murcia;0;0;0;5;0;media;cierre;0;0;0;0
60;14/12/2021;12:45;VALENCIA01;Valencia;1;0;0;14;1;alta;cierre;1;0;1;0
61;11/01/2021;10:15;BARCELONADIAGONAL01;Barcelona Diagonal;0;0;0;11;0;baja;manana;0;0;0;0
62;18/01/2020;9:45;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;0;0;0;18;0;media;manana;0;0;5;0
63;13/10/2020;8:00;ALICANTE01;Alicante;0;0;0;13;0;media;manana;0;0;1;0
64;11/07/2022;14:00;GRANADA01;Granada;1;0;0;11;1;alta;cierre;1;0;0;1
65;15/06/2024;9:15;ALICANTE01;Alicante;0;0;0;15;1;baja;manana;0;0;5;0
66;30/10/2021;14:45;SEVILLA01;Sevilla;1;0;0;30;1;baja;cierre;1;1;5;0
67;01/12/2022;12:00;BARCELONA01;Barcelona;1;0;0;1;0;media;cierre;1;0;3;0
68;08/06/2024;11:45;SEVILLA01;Sevilla;0;0;0;8;0;baja;manana;0;0;5;0
69;18/04/2020;12:45;CADIZ01;Cadiz;0;0;0;18;1;alta;cierre;0;0;5;0
70;10/07/2024;12:30;MADRID01;Madrid;0;0;0;10;1;baja;cierre;0;0;2;0
71;09/02/2023;12:00;CORDOBA01;Cordoba;0;0;0;9;1;alta;cierre;0;0;3;0
72;22/10/2024;13:00;M?STOLES01;M?stoles;0;0;0;22;0;media;cierre;0;0;1;0
73;19/09/2024;13:30;SANTAENGRACIA01;Santa Engracia;1;0;1;19;0;media;cierre;1;0;3;0
74;25/08/2021;14:30;VIGO01;Vigo;0;0;0;25;0;baja;cierre;0;1;2;0
75;09/07/2022;8:30;MADRIDODONNELL01;Madrid O Donnell;1;0;0;9;1;alta;manana;1;0;5;0
76;12/02/2020;11:15;MADRID01;Madrid;1;0;0;12;1;alta;manana;1;0;2;0
77;31/08/2020;11:00;ACORUNA01;A Coruna;0;0;0;31;0;baja;manana;0;1;0;0
78;03/08/2023;13:30;M?STOLES01;M?stoles;0;0;0;3;0;media;cierre;0;0;3;0
79;01/03/2025;12:15;CADIZ01;Cadiz;0;0;0;1;0;baja;cierre;0;0;5;0
80;03/08/2024;12:00;MURCIA01;Murcia;1;0;0;3;0;baja;cierre;1;0;5;0
81;03/05/2023;14:30;BARCELONA01;Barcelona;0;0;0;3;1;baja;cierre;0;0;2;0
82;27/04/2023;14:15;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;27;1;baja;cierre;0;1;3;1
83;06/08/2024;9:30;ALICANTE01;Alicante;0;0;0;6;1;media;manana;0;0;1;0
84;02/11/2021;14:15;MADRIDMOSTOLES01;Madrid Mostoles;1;0;0;2;0;baja;cierre;1;0;1;0
85;01/09/2023;12:00;VALLADOLID01;Valladolid;0;0;0;1;0;media;cierre;0;0;4;1
86;18/11/2024;12:30;SANTAENGRACIA01;Santa Engracia;0;0;0;18;0;baja;cierre;0;0;0;0
87;15/04/2022;11:00;TENERIFE01;Tenerife;0;0;0;15;1;media;manana;0;0;4;1
88;21/04/2021;8:30;DIAGONAL01;Diagonal;0;0;0;21;0;alta;manana;0;0;2;1
89;17/05/2022;14:30;GIJON01;Gijon;1;1;1;17;0;media;cierre;1;0;1;0
90;22/02/2025;9:00;LASROZAS01;Las Rozas;0;0;0;22;0;baja;manana;0;0;5;0
91;10/07/2020;9:00;TENERIFE01;Tenerife;1;0;0;10;0;media;manana;1;0;4;0
92;26/08/2020;8:45;ODONNELL01;O Donnell;0;0;0;26;1;alta;manana;0;1;2;0
93;28/03/2023;14:00;ODONNELL01;O Donnell;0;0;0;28;0;media;cierre;0;1;1;0
94;14/11/2020;14:15;MADRID01;Madrid;0;0;0;14;0;media;cierre;0;0;5;0
95;25/08/2022;9:45;MADRIDODONNELL01;Madrid O Donnell;1;0;0;25;0;media;manana;1;1;3;0
96;19/03/2024;12:15;MADRID01;Madrid;1;0;0;19;0;media;cierre;1;0;1;0
97;24/06/2021;10:45;DIAGONAL01;Diagonal;0;0;0;24;0;baja;manana;0;0;3;1
98;30/10/2024;9:15;SEVILLA01;Sevilla;0;0;0;30;1;baja;manana;0;1;2;0
99;26/02/2024;13:30;GIJON01;Gijon;0;0;0;26;1;alta;cierre;0;1;0;0
100;21/04/2023;11:30;SANTAENGRACIA01;Santa Engracia;1;0;0;21;0;media;manana;1;0;4;0
101;15/12/2020;11:45;MADRID01;Madrid;0;0;0;15;0;media;manana;0;0;1;0
102;05/05/2022;8:15;VALLADOLID01;Valladolid;0;0;0;5;1;alta;manana;0;0;3;0
103;05/02/2021;9:00;M?STOLES01;M?stoles;1;0;0;5;1;alta;manana;1;0;4;1
104;09/11/2022;10:00;ZARAGOZA01;Zaragoza;0;0;0;9;0;baja;manana;0;0;2;1
105;01/07/2023;12:15;BARCELONA01;Barcelona;0;0;0;1;0;baja;cierre;0;0;5;1
106;28/07/2022;12:15;MADRIDODONNELL01;Madrid O Donnell;0;0;0;28;1;alta;cierre;0;1;3;0
107;12/09/2020;8:00;DIAGONAL01;Diagonal;1;0;0;12;0;media;manana;1;0;5;0
108;25/06/2022;13:00;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;25;1;baja;cierre;0;1;5;0
109;10/08/2020;9:00;MALAGA01;Malaga;0;0;0;10;0;baja;manana;0;0;0;0
110;26/03/2021;8:30;CADIZ01;Cadiz;0;0;0;26;1;baja;manana;0;1;4;0
111;06/08/2021;8:15;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;1;0;1;6;0;baja;manana;1;0;4;0
112;17/06/2023;10:45;MADRIDODONNELL01;Madrid O Donnell;0;0;0;17;1;baja;manana;0;0;5;0
113;02/11/2023;9:15;CORDOBA01;Cordoba;0;0;0;2;1;media;manana;0;0;3;0
114;20/01/2020;13:45;VALENCIA01;Valencia;0;0;0;20;0;media;cierre;0;0;0;0
115;18/03/2020;9:45;GIJON01;Gijon;1;0;0;18;1;media;manana;1;0;2;0
116;08/09/2021;14:45;ODONNELL01;O Donnell;0;0;0;8;0;baja;cierre;0;0;2;0
117;13/06/2024;9:00;VALENCIA01;Valencia;0;0;0;13;0;alta;manana;0;0;3;0
118;28/09/2023;8:45;VALENCIA01;Valencia;0;0;0;28;0;baja;manana;0;1;3;0
119;10/02/2022;10:45;BARCELONAMERIDIANA01;Barcelona Meridiana;0;0;0;10;0;media;manana;0;0;3;0
120;12/11/2024;11:45;MADRID01;Madrid;1;0;0;12;0;baja;manana;1;0;1;0
121;13/07/2023;14:00;SANTAENGRACIA01;Santa Engracia;1;0;0;13;1;alta;cierre;1;0;3;0
122;10/10/2023;13:00;BARCELONA01;Barcelona;0;0;0;10;1;baja;cierre;0;0;1;0
123;14/12/2024;8:45;COSTARICA01;Costa Rica;0;0;0;14;0;media;manana;0;0;5;0
124;03/12/2021;13:30;MADRID01;Madrid;1;0;0;3;0;media;cierre;1;0;4;0
125;09/04/2021;14:00;VALENCIA01;Valencia;0;0;0;9;1;alta;cierre;0;0;4;0
126;12/05/2021;9:15;M?STOLES01;M?stoles;0;0;0;12;0;media;manana;0;0;2;0
127;07/12/2020;9:45;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;7;1;alta;manana;0;0;0;0
128;25/03/2021;9:45;BARCELONA01;Barcelona;0;0;0;25;1;baja;manana;0;1;3;0
129;03/12/2024;9:30;ALICANTE01;Alicante;1;0;0;3;1;alta;manana;1;0;1;0
130;29/09/2020;11:15;ALICANTE01;Alicante;0;0;0;29;1;alta;manana;0;1;1;0
131;22/04/2023;14:00;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;22;0;media;cierre;0;0;5;0
132;19/02/2020;11:00;MAJADAHONDA01;Majadahonda;0;0;0;19;1;baja;manana;0;0;2;0
133;02/06/2023;8:00;LASROZAS01;Las Rozas;1;0;1;2;0;media;manana;1;0;4;0
134;09/06/2020;8:15;SANTAENGRACIA01;Santa Engracia;0;0;0;9;0;media;manana;0;0;1;1
135;25/08/2020;9:45;GRANADA01;Granada;1;0;0;25;1;alta;manana;1;1;1;0
136;14/07/2022;11:45;MADRID01;Madrid;0;0;0;14;0;baja;manana;0;0;3;0
137;10/01/2023;9:45;GIJON01;Gijon;0;0;0;10;0;media;manana;0;0;1;0
138;08/06/2023;8:15;MADRIDODONNELL01;Madrid O Donnell;0;0;0;8;1;media;manana;0;0;3;1
139;26/06/2023;11:00;LASPALMAS01;Las Palmas;0;0;0;26;0;alta;manana;0;1;0;0
140;18/08/2021;11:30;CADIZ01;Cadiz;0;0;0;18;0;baja;manana;0;0;2;0
141;27/04/2021;14:45;BILBAO01;Bilbao;0;0;0;27;0;media;cierre;0;1;1;0
142;15/03/2025;10:45;OVIEDO01;Oviedo;1;0;0;15;0;media;manana;1;0;5;1
143;12/08/2022;13:45;BILBAO01;Bilbao;0;0;0;12;0;media;cierre;0;0;4;0
144;27/04/2020;9:15;DIAGONAL01;Diagonal;1;0;1;27;0;media;manana;1;1;0;0
145;24/03/2022;10:15;SEVILLA01;Sevilla;0;0;0;24;0;baja;manana;0;0;3;0
146;12/05/2022;8:00;ACACIAS01;Acacias;1;1;1;12;0;media;manana;1;0;3;0
147;12/02/2025;13:30;BARCELONAMERIDIANA01;Barcelona Meridiana;0;0;0;12;0;media;cierre;0;0;2;0
148;15/02/2023;8:00;BARCELONA01;Barcelona;0;0;0;15;0;baja;manana;0;0;2;1
149;29/12/2021;12:45;ALICANTE01;Alicante;0;0;0;29;1;alta;cierre;0;1;2;0
150;30/10/2024;12:15;GIJON01;Gijon;0;0;0;30;0;media;cierre;0;1;2;1
151;04/02/2022;8:00;SANTANDER01;Santander;0;0;0;4;0;media;manana;0;0;4;0
152;06/05/2023;14:15;VALENCIA01;Valencia;0;0;0;6;0;media;cierre;0;0;5;0
153;17/01/2024;8:00;VIGO01;Vigo;0;0;0;17;0;media;manana;0;0;2;0
154;18/08/2021;13:15;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;18;0;baja;cierre;0;0;2;0
155;29/06/2022;11:00;SEVILLA01;Sevilla;0;0;0;29;0;media;manana;0;1;2;1
156;16/04/2021;12:15;MADRIDODONNELL01;Madrid O Donnell;0;0;0;16;0;alta;cierre;0;0;4;0
157;29/10/2022;12:00;MADRIDACACIAS01;Madrid Acacias;0;0;0;29;1;alta;cierre;0;1;5;0
158;01/08/2022;12:00;MADRID01;Madrid;0;0;0;1;0;media;cierre;0;0;0;0
159;10/04/2021;11:30;VALENCIA01;Valencia;1;0;0;10;0;media;manana;1;0;5;0
160;01/09/2020;10:15;BARCELONADIAGONAL01;Barcelona Diagonal;0;0;0;1;0;media;manana;0;0;1;0
161;18/05/2023;13:30;LASPALMASDEGC01;Las Palmas de GC;0;0;0;18;1;alta;cierre;0;0;3;0
162;20/02/2025;9:30;MADRID01;Madrid;0;0;0;20;1;alta;manana;0;0;3;0
163;24/11/2022;11:15;MADRID01;Madrid;0;0;0;24;1;media;manana;0;0;3;0
164;29/10/2024;13:30;BARCELONA01;Barcelona;1;0;0;29;0;alta;cierre;1;1;1;0
165;17/03/2025;11:30;MADRIDACACIAS01;Madrid Acacias;0;0;0;17;1;alta;manana;0;0;0;0
166;21/10/2022;14:00;BARCELONA01;Barcelona;1;0;0;21;0;media;cierre;1;0;4;1
167;01/06/2022;8:45;LASROZAS01;Las Rozas;0;0;0;1;0;media;manana;0;0;2;0
168;13/02/2024;12:00;GRANADA01;Granada;0;0;0;13;0;media;cierre;0;0;1;0
169;29/10/2021;8:15;MADRID01;Madrid;0;0;0;29;0;baja;manana;0;1;4;1
170;26/04/2023;12:30;SALAMANCA01;Salamanca;0;0;0;26;0;alta;cierre;0;1;2;0
171;23/04/2020;9:30;VALENCIA01;Valencia;0;0;0;23;0;media;manana;0;0;3;0
172;28/07/2021;8:15;BARCELONAMERIDIANA01;Barcelona Meridiana;1;0;0;28;0;baja;manana;1;1;2;0
173;26/08/2024;10:30;VALENCIA01;Valencia;0;0;0;26;0;alta;manana;0;1;0;0
174;29/09/2020;9:45;SANTANDER01;Santander;1;0;0;29;0;media;manana;1;1;1;0
175;08/06/2022;14:30;SANTAENGRACIA01;Santa Engracia;1;0;0;8;0;media;cierre;1;0;2;1
176;18/11/2023;12:00;BARCELONA01;Barcelona;0;0;0;18;0;baja;cierre;0;0;5;0
177;01/10/2021;13:30;MADRID01;Madrid;0;0;0;1;0;baja;cierre;0;0;4;0
178;12/06/2023;13:00;GIJON01;Gijon;1;0;0;12;0;media;cierre;1;0;0;0
179;13/09/2021;9:30;VALENCIA01;Valencia;0;0;0;13;0;baja;manana;0;0;0;0
180;06/11/2023;8:00;TENERIFE01;Tenerife;0;0;0;6;1;alta;manana;0;0;0;0
181;15/02/2024;13:15;TENERIFE01;Tenerife;1;0;0;15;0;baja;cierre;1;0;3;0
182;09/08/2023;10:30;ALICANTE01;Alicante;1;0;0;9;0;baja;manana;1;0;2;0
183;16/11/2021;12:15;SALAMANCA01;Salamanca;1;0;1;16;1;alta;cierre;1;0;1;0
184;22/03/2022;13:30;SALAMANCA01;Salamanca;0;0;0;22;0;alta;cierre;0;0;1;0
185;21/10/2021;9:30;ZARAGOZA01;Zaragoza;1;0;0;21;0;media;manana;1;0;3;0
186;15/03/2025;12:45;SEVILLA01;Sevilla;0;0;0;15;1;alta;cierre;0;0;5;1
187;17/04/2023;10:00;VALENCIA01;Valencia;0;0;0;17;0;media;manana;0;0;0;0
188;08/02/2022;8:45;VALENCIA01;Valencia;1;0;0;8;1;alta;manana;1;0;1;1
189;02/08/2022;14:30;CADIZ01;Cadiz;0;0;0;2;0;alta;cierre;0;0;1;0
190;02/06/2023;8:00;CORDOBA01;Cordoba;1;0;0;2;0;baja;manana;1;0;4;0
191;09/05/2025;10:15;CORDOBA01;Cordoba;0;0;0;9;1;alta;manana;0;0;4;0
192;22/02/2025;13:30;MADRID01;Madrid;0;0;0;22;0;media;cierre;0;0;5;1
193;08/06/2024;9:45;ACACIAS01;Acacias;0;0;0;8;1;media;manana;0;0;5;0
194;29/05/2024;12:45;BARCELONA01;Barcelona;0;0;0;29;1;alta;cierre;0;1;2;0
195;23/12/2024;12:00;BARCELONA01;Barcelona;0;0;0;23;0;media;cierre;0;0;0;0
196;18/06/2024;8:00;SEVILLA01;Sevilla;0;0;0;18;1;alta;manana;0;0;1;0
197;13/11/2024;13:15;BARCELONA01;Barcelona;0;0;0;13;0;media;cierre;0;0;2;0
198;01/02/2024;12:00;VALLADOLID01;Valladolid;0;0;0;1;0;alta;cierre;0;0;3;0
199;12/08/2020;14:30;ODONNELL01;O Donnell;1;0;0;12;0;media;cierre;1;0;2;0
200;25/01/2024;12:15;CORDOBA01;Cordoba;0;0;0;25;1;media;cierre;0;1;3;0
201;31/07/2024;11:15;CADIZ01;Cadiz;0;0;0;31;1;media;manana;0;1;2;0
202;22/07/2024;8:30;BARCELONA01;Barcelona;0;0;0;22;0;media;manana;0;0;0;1
203;02/04/2024;10:00;BARCELONA01;Barcelona;0;0;0;2;1;alta;manana;0;0;1;0
204;24/01/2022;10:15;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;24;1;alta;manana;0;0;0;0
205;18/01/2022;13:15;CORDOBA01;Cordoba;0;0;0;18;1;alta;cierre;0;0;1;0
206;01/03/2023;13:00;SEVILLA01;Sevilla;1;0;0;1;1;alta;cierre;1;0;2;0
207;05/03/2024;10:45;MADRID01;Madrid;0;0;0;5;1;alta;manana;0;0;1;0
208;01/07/2024;12:15;LASROZAS01;Las Rozas;0;0;0;1;0;baja;cierre;0;0;0;0
209;23/04/2022;9:15;CADIZ01;Cadiz;0;0;0;23;1;baja;manana;0;0;5;0
210;23/10/2024;14:15;ACORUNA01;A Coruna;0;0;0;23;0;baja;cierre;0;0;2;0
211;30/08/2024;11:00;ACACIAS01;Acacias;0;0;0;30;1;alta;manana;0;1;4;0
212;11/02/2022;9:30;BARCELONA01;Barcelona;1;0;0;11;0;media;manana;1;0;4;0
213;13/01/2021;14:45;VALENCIA01;Valencia;0;0;0;13;1;baja;cierre;0;0;2;0
214;25/01/2024;14:15;ZARAGOZA01;Zaragoza;0;0;0;25;1;media;cierre;0;1;3;0
215;05/02/2024;10:15;BARCELONADIAGONAL01;Barcelona Diagonal;0;0;0;5;0;baja;manana;0;0;0;0
216;24/03/2022;14:00;BARCELONA01;Barcelona;1;0;0;24;0;media;cierre;1;0;3;0
217;01/03/2022;11:00;LASROZAS01;Las Rozas;0;0;0;1;1;media;manana;0;0;1;0
218;18/07/2024;14:45;BARCELONA01;Barcelona;0;0;0;18;0;baja;cierre;0;0;3;0
219;24/04/2025;9:15;MADRID01;Madrid;1;0;0;24;0;baja;manana;1;0;3;1
220;12/11/2024;14:45;COSTARICA01;Costa Rica;1;0;0;12;1;media;cierre;1;0;1;0
221;03/02/2024;10:30;BARCELONA01;Barcelona;0;0;0;3;1;media;manana;0;0;5;0
222;09/09/2023;14:15;ACACIAS01;Acacias;1;0;0;9;0;baja;cierre;1;0;5;1
223;12/12/2024;9:00;BILBAO01;Bilbao;0;0;0;12;0;media;manana;0;0;3;0
224;08/06/2021;13:15;BARCELONA01;Barcelona;0;0;0;8;1;alta;cierre;0;0;1;0
225;29/10/2021;11:30;MADRID01;Madrid;0;0;0;29;0;baja;manana;0;1;4;0
226;15/03/2024;10:00;TENERIFE01;Tenerife;1;1;1;15;0;baja;manana;1;0;4;0
227;28/12/2024;14:30;BARCELONA01;Barcelona;0;0;0;28;0;baja;cierre;0;1;5;0
228;01/08/2024;10:45;SALAMANCA01;Salamanca;0;0;0;1;0;media;manana;0;0;3;0
229;02/08/2024;13:30;COSTARICA01;Costa Rica;1;0;0;2;0;baja;cierre;1;0;4;0
230;09/09/2023;8:00;VALLADOLID01;Valladolid;0;0;0;9;1;alta;manana;0;0;5;0
231;30/04/2025;10:15;MURCIA01;Murcia;1;0;0;30;0;baja;manana;1;1;2;0
232;15/05/2025;12:30;MADRID01;Madrid;0;0;0;15;1;alta;cierre;0;0;3;0
233;04/02/2023;8:00;BARCELONA01;Barcelona;0;0;0;4;0;baja;manana;0;0;5;0
234;03/08/2023;12:45;BARCELONA01;Barcelona;0;0;0;3;1;alta;cierre;0;0;3;0
235;11/04/2022;10:30;SEVILLA01;Sevilla;0;0;0;11;0;media;manana;0;0;0;1
236;14/05/2020;11:00;DIAGONAL01;Diagonal;0;0;0;14;1;baja;manana;0;0;3;0
237;03/01/2020;11:15;VALENCIA01;Valencia;0;0;0;3;0;media;manana;0;0;4;0
238;03/02/2022;10:00;MADRID01;Madrid;0;0;0;3;1;baja;manana;0;0;3;1
239;16/09/2020;13:45;BILBAO01;Bilbao;0;0;0;16;1;media;cierre;0;0;2;0
240;06/03/2025;8:15;SALAMANCA01;Salamanca;1;0;0;6;0;media;manana;1;0;3;0
241;10/10/2022;10:45;LASPALMASDEGC01;Las Palmas de GC;1;0;0;10;0;media;manana;1;0;0;0
242;25/01/2024;8:30;VALLADOLID01;Valladolid;0;0;0;25;0;media;manana;0;1;3;0
243;01/04/2021;12:30;ALICANTE01;Alicante;1;0;1;1;0;media;cierre;1;0;3;0
244;21/08/2024;13:00;ACORUNA01;A Coruna;0;0;0;21;1;media;cierre;0;0;2;0
245;30/05/2025;13:30;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;0;0;0;30;1;media;cierre;0;1;4;0
246;29/09/2023;12:30;ZARAGOZA01;Zaragoza;0;0;0;29;1;alta;cierre;0;1;4;0
247;01/07/2023;13:45;MURCIA01;Murcia;0;0;0;1;1;media;cierre;0;0;5;0
248;17/05/2022;10:45;VALENCIA01;Valencia;1;0;0;17;0;baja;manana;1;0;1;0
249;05/09/2024;13:30;VALENCIA01;Valencia;0;0;0;5;1;baja;cierre;0;0;3;1
250;19/10/2020;12:15;LASROZAS01;Las Rozas;0;0;0;19;0;baja;cierre;0;0;0;0
251;17/09/2022;9:45;LASPALMAS01;Las Palmas;1;0;0;17;1;alta;manana;1;0;5;0
252;02/10/2024;13:45;LASROZAS01;Las Rozas;0;0;0;2;0;media;cierre;0;0;2;0
253;27/08/2020;13:15;MADRID01;Madrid;0;0;0;27;1;media;cierre;0;1;3;1
254;04/12/2023;12:30;ACACIAS01;Acacias;1;0;0;4;0;media;cierre;1;0;0;0
255;26/05/2020;11:00;TENERIFE01;Tenerife;0;0;0;26;0;media;manana;0;1;1;0
256;20/04/2021;10:30;VALENCIA01;Valencia;0;0;0;20;1;alta;manana;0;0;1;1
257;29/06/2022;9:45;SANTAENGRACIA01;Santa Engracia;0;0;0;29;1;alta;manana;0;1;2;0
258;12/12/2020;14:30;SEVILLA01;Sevilla;0;0;0;12;1;media;cierre;0;0;5;0
259;26/11/2020;11:45;MADRIDMOSTOLES01;Madrid Mostoles;1;0;0;26;0;media;manana;1;1;3;0
260;15/11/2022;11:15;GRANADA01;Granada;0;0;0;15;0;baja;manana;0;0;1;0
261;26/04/2025;12:45;BILBAO01;Bilbao;0;0;0;26;1;media;cierre;0;1;5;0
262;21/08/2020;14:15;SANTANDER01;Santander;1;0;0;21;0;media;cierre;1;0;4;0
263;11/03/2023;13:00;MADRIDMOSTOLES01;Madrid Mostoles;0;0;0;11;0;baja;cierre;0;0;5;0
